	en	fr	es	el	it	ar	de	ja
navbar_twitter_description	It performs advanced search queries on X (ex-Twitter) including by time interval up to the minute	Recherche avancée sur X (ex-Twitter), y compris par intervalle de temps à la minute	Lanza consultas de búsqueda avanzada en X (ex-Twitter) incluyendo por intervalo de tiempo hasta el minuto	Μια φόρμα για να ξεκινήσει την προηγμένη ερωτήματα αναζήτησης στο X (ex-Twitter) μεταξύ άλλων μέσω χρονικό διάστημα μέχρι στιγμής	Esegue ricerca avanzata su Twitter, anche per intervallo di tempo al minuto	يقوم بإجراء بحث متقدم على تويتر، والذي يتيح تحديد الفترة الزمنية المعالجة حتى الثانية	Es führt erweiterte Suchabfragen auf X (Ex-Twitter) durch, einschließlich des Zeitintervalls bis zur Minute.	X (元 Twitter) で分単位までの時間間隔を含む高度な検索クエリを実行します
navbar_magnifier_description	It provides a magnifying lens and a photo editor to help you examine an image thoroughly	Une loupe et un éditeur de photo pour examiner minutieusement une image	Provee una lente de aumento y un editor de foto para examinar a fondo una imagen	Ένας μεγεθυντικός φακός και ένα πρόγραμμα επεξεργασίας φωτογραφιών που σας βοηθά να εξετάσει σε βάθος μια εικόνα	Fornisce una lente di ingrandimento e un editor di foto per aiutarti a esaminare accuratamente un'immagine	يوفر عدسة مكبرة ومحرر صور لمساعدتك على فحص الصورة بدقة	Es bietet eine Lupe und einen Fotoeditor, mit dem Sie ein Bild gründlich untersuchen können.	画像を徹底的に調べるのに役立つ拡大レンズとフォトエディターを提供します
navbar_metadata_description	It extract metadata for jpeg images and videos (in mp4 or m4v format)	Extrait les métadonnées pour les images JPEG et des vidéos (en format MP4 ou M4V)	Extrae metadatos para imágenes (jpeg) y vídeos (en formato m4v mp4)	Ένας απαγωγέας μεταδεδομένων για jpeg εικόνες και βίντεο (σε mp4 ή μορφή m4v)	Estrarre i metadati per immagini JPEG e video  (in formato MP4 o M4V)	يستخرج البيانات الوصفية لصور JPEG ومقاطع الفيديو (بتنسيق MP4 أو M4V)	Extrahiert Metadaten aus JPEG-Bildern oder Videos in MP4 oder M4V-Format.	JPEG画像と動画のメタデータを抽出します（mp4またはm4v形式）
navbar_rights_description	It provides information about the legal rights of a Youtube or Twitter video	Fournit des informations sur les droits associés à une vidéo postée sur Youtube ou Twitter	Información sobre los derechos legales de un vídeo de Youtube o Twitter	Πληροφορίες σχετικά με τα νόμιμα δικαιώματα του Youtube ή το Twitter βίντεο	Fornisce informazioni sui diritti legali di un video Youtube o Twitter	يوفر معلومات حول الحقوق القانونية لمقطع فيديو على يوتيوب أو تويتر	Enthält Informationen über die Nutzungsrechte eines Videos auf YouTube.	Youtube または Twitter 動画の法的権利に関する情報を提供します。
navbar_forensic_description	It provides an enhanced toolkit to detect image forgeries	Une boîte à outils améliorée pour détecter les falsifications d'images	Provee un conjunto de herramientas mejorado para detectar falsificaciones en las imágenes	Μια ενισχυμένη εργαλειοθήκη για την ανίχνευση πλαστά εικόνα	Fornisce un toolkit avanzato per rilevare le falsificazioni di immagine	يوفر مجموعة أدوات محسّنة للكشف عن تزوير (تلاعب) الصور	Es bietet ein verbessertes Toolkit, um Bildfälschung zu erkennen	画像偽造を検出するための強化されたツールキットを提供します
navbar_covidsearch_description	It provides a customised search engine of Factchecks.	Un moteur de recherche personnalisé pour retrouver des factchecks.	Un motor personalizado de búsqueda de chequeos.	Μια προσαρμοσμένη μηχανή αναζήτησης σε ένταξη και debunks.	Fornisce un motore di ricerca personalizzato di factcheks	يوفر محرك بحث مخصص لتدقيق المعلومات	Es bietet eine individuelle Suchmaschine von FactenChecks.	ファクトチェックのカスタマイズされた検索エンジンを提供します。
navbar_xnetwork_description	It provides a customised search engine for cross-network queries.	Un moteur de recherche personnalisé pour les requêtes transversales entre plusieurs réseaux.	Un motor de búsqueda personalizado para consultas entre redes.	Μια προσαρμοσμένη μηχανή αναζήτησης για ερωτήματα cross-δίκτυο.	Fornisce un motore di ricerca personalizzato per query cross-network	يوفر محرك بحث مخصصًا للاستعلامات عبر الشبكة.	Es bietet eine individuelle Suchmaschine für Abfragen über Netrationen.	クロスネットワーククエリ用にカスタマイズされた検索エンジンを提供します。
navbar_ocr_description	It provides optical character recognition for texts in images	Une reconnaissance optique de caractères pour les textes dans les images.	Provee reconocimiento óptico de caracteres para textos en las imágenes	Οπτική αναγνώριση χαρακτήρων για εικόνες	Riconoscimento ottico dei caratteri per i testi nelle immagini	يوفر قدرة التعرف على الأحرف اواستخراجها من الصور	Es liefert optische Charaktererkennung für Texte in Bildern	画像内のテキストの光学式文字認識を提供します
navbar_gif_description	It compares an original image and a tampered one (including if the image has been cropped) and generates a GIF as output	Compare une image originale et une manipulée (y compris si l'image a été rognée) et génère en sortie une image gif	Compara una imagen original y una manipulada (incluyendo si la imagen ha sido recortada) y genera a la salida una imagen GIF	Δημιουργεί μια εικόνα GIF αποτελείται από μια πρωτότυπη εικόνα και μιας παραβιασμένης όνη (συμπεριλαμβανομένου του αν έχει περικοπεί η εικόνα)	Confronta un'immagine originale e una manomissione (inclusa se l'immagine è stata ritagliata) e genera un GIF come risultato	يقارن الصورة الأصلية والصورة التي تم التلاعب بها (بما في ذلك إذا تم اجتزاء الصورة) وينشئ صورة GIF كنتيجة	Es vergleicht ein Originalbild mit einem manipulierten (einschließlich, wenn das Bild beschnitten wurde) und erzeugt ein GIF als Ausgabe.	元の画像と改ざんされた画像 (画像がトリミングされているかどうかを含む) を比較し、出力として GIF を生成します。
navbar_archiving_description	Archive web pages to the Wayback Machine	Archiver des pages web sur la Wayback Machine	Archivar páginas web en Wayback Machine	Αρχειοθετήστε ιστοσελίδες στο Wayback Machine	Archivia le pagine web sulla Wayback Machine	أرشفة صفحات الويب إلى Wayback Machine	Archiv -Webseiten auf den Wayback -Gerät archivieren	Web ページをウェイバック マシンにアーカイブする
api_help_video	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0	https://www.youtube.com/embed/6kkulKrgtLQ?rel=0	https://www.youtube.com/embed/FtAbxbrJMMY?rel=0	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0	https://www.youtube.com/embed/eevtyq1lmxm?rel=0	https://www.youtube.com/embed/eevtyq1lmxm?rel=0	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0
keyframes_help_video	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0	https://www.youtube.com/embed/kXtjUWTqgFQ?rel=0	https://www.youtube.com/embed/0seFvJXegyc?rel=0	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0	https://www.youtube.com/embed/ins8y5doxp8?rel=0	https://www.youtube.com/embed/ins8y5doxp8?rel=0	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0
thumbnails_help_video	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0	https://www.youtube.com/embed/Ioe5yDqPaL8?rel=0	https://www.youtube.com/embed/cmv_1KJlbhE?rel=0	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0	https://www.youtube.com/embed/vn0xgloksrq?rel=0	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0
twitter_help_video	https://www.youtube.com/embed/wzMCtpENuHA?rel=0	https://www.youtube.com/embed/g0GldCZCh_Q?rel=0	https://www.youtube.com/embed/zHYJ43lhhOY?rel=0	https://www.youtube.com/embed/wzMCtpENuHA?rel=0	https://www.youtube.com/embed/wzMCtpENuHA?rel=0	https://www.youtube.com/embed/wzmctpenuha?rel=0	https://www.youtube.com/embed/wzMCtpENuHA?rel=0	https://www.youtube.com/embed/wzMCtpENuHA?rel=0
magnifier_help_video	https://www.youtube.com/embed/JljRs8p4aK4?rel=0	https://www.youtube.com/embed/_FVyFgMqErM?rel=0	https://www.youtube.com/embed/IMutZWgZEGk?rel=0	https://www.youtube.com/embed/JljRs8p4aK4?rel=0	https://www.youtube.com/embed/JljRs8p4aK4?rel=0	https://www.youtube.com/embed/jljrs8p4ak4?rel=0	https://www.youtube.com/embed/JljRs8p4aK4?rel=0	https://www.youtube.com/embed/JljRs8p4aK4?rel=0
metadata_help_video	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0	https://www.youtube.com/embed/RtG3kWzZfO0?rel=0	https://www.youtube.com/embed/uM-tlI6DpIE?rel=0	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0	https://www.youtube.com/embed/mg6z-jc54yo?rel=0	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0
copyright_help_video	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0	https://www.youtube.com/embed/dDQWlR8u-mk?rel=0	https://www.youtube.com/embed/36hvLnIugjI?rel=0	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0	https://www.youtube.com/embed/njtxsbf5wu8?rel=0	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0
forensic_help_video	https://www.youtube.com/embed/de862rAPne4?rel=0	https://www.youtube.com/embed/jiqcixMzmpo?rel=0	https://www.youtube.com/embed/B2D0kPOAWxM?rel=0	https://www.youtube.com/embed/de862rAPne4?rel=0	https://www.youtube.com/embed/de862rAPne4?rel=0	https://www.youtube.com/embed/de862rapne4?rel=0	https://www.youtube.com/embed/de862rAPne4?rel=0	https://www.youtube.com/embed/de862rAPne4?rel=0
close	Close	Fermer	Cerrar	Κλείσιμο	Chiudere	إغلاق	Schließen	閉じる
category_video	Video	Vidéo	Video	βίντεο	video	فيديو	Video	動画
category_image	Image	Image	Imagen	Εικόνα	Immagine	صورة	Bild	画像
category_audio	Audio	Audio	Audio	Ήχος	Audio	صوت	Audio	音声
category_search	Search	Recherche	Busqueda	Αναζήτηση	Ricerca	بحث	Suchen	検索
category_data	Data analysis	Analyse des données	Análisis de datos	Ανάλυση δεδομένων	Analisi dei dati	تحليل البيانات	Datenanalyse	データ解析
category_other	Other tools	Autres Outils	Otras herramientas	Άλλα εργαλεία	Altri strumenti	أدوات أخرى	Andere Werkzeuge	その他のツール
navbar_conversation	Twitter Conversation	Conversation sur Twitter	Conversación en Twitter	Συζήτηση στο Twitter	Conversazione su Twitter	محادثة تويتر	Twitter -Gespräch	ツイッターでの会話
navbar_conversation_description	It provides a straightforward way of exploring a Twitter based conversation.	Cet outil permet d'explorer une conversation sur Twitter	Esta herramienta permite explorar una conversación en Twitter	Παρέχει έναν απλό τρόπο εξερεύνησης μιας συνομιλίας με βάση το Twitter.	Fornisce un modo semplice di esplorare una conversazione basata su Twitter.	يوفر طريقة مباشرة لاستكشاف محادثة على تويتر.	Es bietet eine einfache Möglichkeit, ein Twitter -basierter Gespräch zu erkunden.	これは、Twitter ベースの会話を探索する簡単な方法を提供します。
navbar_twitter_crowdtangle	CSV Analysis	Analyse CSV	Analisis CSV	Ανάλυση CSV	Analisi CSV	تحليل CSV	CSV Analyse	CSV分析
navbar_twitter_crowdtangle_description	It performs social network analysis from a CrowdTangle export	Il effectue une analyse de réseau social à partir d'un export de CrowdTangle	Realiza un análisis de redes sociales desde una exportación de CrowdTangle.	Εκτελεί ανάλυση κοινωνικού δικτύου από την εξαγωγή Crowdtangle	Esegue l'analisi dei social network da un'esportazione di CrowdTangle	يقوم بتحليل الشبكة الاجتماعية من تصدير CrowdTangle	Es führt eine soziale Netzwerkanalyse aus einem Crowdtangle -Export durch	CrowdTangle のエクスポートからソーシャル ネットワーク分析を実行します
navbar_deepfake_image	Deepfake	Deepfake	Deepfake	Deepfake	Deepfake	تزييف عميق	Deepfake	ディープフェイク
navbar_deepfake_image_description	It tries to detect if an image has been manipulated through face swapping.	Il essaie de détecter si une image a été manipulée par échange de visage.	Trata de detectar si una imagen ha sido manipulada mediante intercambio de caras.	Προσπαθεί να ανιχνεύσει εάν μια εικόνα έχει υποστεί χειρισμό μέσω εναλλαγής προσώπων.	Cerca di rilevare se un'immagine è stata manipolata tramite scambio de caras.	يحاول اكتشاف ما إذا كانت الصورة قد تم التلاعب بها من خلال تبديل الوجوه.	Es versucht zu erkennen, ob ein Bild durch Face-Swapping manipuliert wurde.	画像が顔の交換を通じて操作されたかどうかを検出しようとします。
navbar_geolocation	Geolocalizer	Géolocalisation	Geolocalizador	Geolocalizer	Geolocalizer	محدد الموقع الجغرافي	Geolokalisierung	ジオローカライザー
navbar_geolocation_description	Is uses an algorithm to try to geolocalize an image	Utilise un algorithme pour essayer de géolocaliser une image	Se usa un algoritmo para intentar geolocalizar una imagen.	Χρησιμοποιεί έναν αλγόριθμο για να προσπαθήσει να geolocalize μια εικόνα	Utilizza un algoritmo per cercare di geolocalizzare un'immagine	يستخدم خوارزمية لمحاولة تحديد موقع الصورة جغرافياً	Es verwendet einen Algorithmus, um zu versuchen, ein Bild zu orten.	アルゴリズムを使用して画像の地理的位置特定を試みます
navbar_deepfake_video	Deepfake	Deepfake	Deepfake	Deepfake	Deepfake	تزييف عميق	Deepfake	ディープフェイク
navbar_deepfake_video_description	It uses a machine learning classifier which returns the probability that a video contains AI manipulated faces (face swapping and face reenactment).	Il utilise un classificateur à apprentissage automatique qui renvoie la probabilité qu'une vidéo contienne des visages manipulés par l'IA (échange de visage et reconstitution faciale).	Utiliza un clasificador de aprendizaje automático que devuelve la probabilidad de que un video contenga rostros manipulados por IA (intercambio de rostros y recreación facial).	Χρησιμοποιεί έναν ταξινομητή μηχανικής μάθησης ο οποίος επιστρέφει την πιθανότητα ένα βίντεο να περιέχει πρόσωπα που έχουν χειραγωγηθεί με τεχνητή νοημοσύνη (εναλλαγή προσώπου και αναπαράσταση προσώπου).	Utilizza un classificatore di apprendimento automatico che restituisce la probabilità che un video contenga volti manipolati dall'IA (scambio di volti e ricostruzione facciale).	مصنف التعلم الآلي الذي يعيد احتمال احتواء مقطع فيديو على وجوه معالجة بالذكاء الاصطناعي (تبديل الوجه وإعادة تمثيل الوجه)	Es verwendet einen Machine-Learning-Klassifikator, der die Wahrscheinlichkeit angibt, dass ein Video KI-manipulierte Gesichter (Face-Swapping und Face-Reenactment) enthält.	これは、動画に AI で操作された顔 (顔の交換や顔の再現) が含まれる確率を返す機械学習分類器を使用します。
navbar_synthetic_image_detection	Synthetic image	Image synthétique	Imagen sintética	Συνθετικός ανιχνευτής εικόνας	Immagine sintetica	كاشف الصور الاصطناعية	Synthetisches Bild	合成画像
navbar_synthetic_image_detection_description	It returns the probability whether an image is AI-generated	Il donne la probabilité qu'une image est générée par l'IA.	Devuelve la probabilidad de que una imagen sea generada por IA	Χρησιμοποιεί έναν αλγόριθμο ανίχνευσης για να επιστρέψει την πιθανότητα ότι μια εικόνα περιέχει ένα χειραγωγημένο AI	Immagine sinteticaRestituisce la probabilità che un'immagine sia generata dall'intelligenza artificiale	يستخدم خوارزمية اكتشاف لتقدير إحتمال إحتواء صورة معالجة على AI	Es wird die Wahrscheinlichkeit angezeigt, ob ein Bild mithilfe von KI generiert ist.	画像がAIによって生成されたかどうかの確率を返します
navbar_loccus	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya
navbar_loccus_description	It detects AI-generated text-to-speech (voice cloning by AI)	Il détecte la conversion de texte en parole générée par l'IA (clonage vocal par l'IA)	Detecta la conversión de texto a voz generada por IA (clonación de voz por IA).	Αναγνωρίζει την ομιλία που δημιουργείται από τεχνητή νοημοσύνη (κλωνοποίηση φωνής από AI)	Rileva la conversione di testo in voce generata dall'IA (clonazione vocale tramite IA)	يكتشف تحويل النص إلى كلام من صنع الذكاء الاصطناعي (استنساخ الصوت بواسطة الذكاء الاصطناعي)	Es erkennt KI-generierte Text-to-Speech (Stimmeklonung durch KI)	AIが生成した音声合成(AIによる音声クローン)を検出します。
navbar_semantic_search	Fact Check semantic search	Recherche sémantique de fact checks	Búsqueda semántica de verificación de hechos	Σημασιολογική αναζήτηση για ελέγχους γεγονότων	Ricerca semantica per verifiche dei fatti	البحث الدلالي عن التحقق من الحقائق	Semantische Suche nach Faktenchecks	ファクトチェックセマンティック検索
navbar_semantic_search_description	A semantic search engine for fact checks.	Un moteur de recherche sémantique pour les vérifications de faits.	Un motor de búsqueda semántica para la verificación de hechos.	Μια σημασιολογική μηχανή αναζήτησης για έλεγχο γεγονότων.	Un motore di ricerca semantico per il fact-checking.	محرك بحث دلالي للتحقق من الحقائق.	Eine semantische Suchmaschine für Faktenchecks.	ファクトチェックのためのセマンティック検索エンジン。
navbar_c2pa	Provenance (C2PA)	Provenance (C2PA)	Procedencia (C2PA)	Προέλευση (C2PA)	Provenienza (C2PA)	الأصل (C2PA)	Provenienz (C2PA)	出所情報 (C2PA)
navbar_c2pa_description	It reads an image's C2pa data.	Lit les données C2pa d'une image.	Lee los datos C2pa de una imagen.	Διαβάζει τα δεδομένα C2pa μιας εικόνας.	Legge i dati C2pa di un'immagine.	يقرأ بيانات C2pa لصورة.	Es liest die C2pa-Daten eines Bildes.	画像の C2pa データを読み取ります。
